file,tag,step,value,wall_time
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,1180,0.0009663283126428723,1788160383.90657
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,1190,0.0009384038858115673,1788160478.86049
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,1200,0.0009129569516517222,1788160563.250651
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,1210,0.000871260475832969,1788160667.433308
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,1220,0.0008237339789047837,1788160772.5354095
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,1230,0.0007626470178365707,1788160868.214986
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,1240,0.0007338750874623656,1788160964.5667036
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,1250,0.0007435347652062774,1788161060.3064654
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,1260,0.0007401641923934221,1788161152.514859
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,1270,0.0007119659567251801,1788161248.3696058
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,1280,0.000711819389835,1788161338.4175646
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,1290,0.0006856718100607395,1788161439.2889018
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,1300,0.0006455511320382357,1788161525.288205
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,1310,0.0006409712368622422,1788161631.814323
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,1320,0.0006270374287851155,1788161729.7948134
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,1330,0.0006231788429431617,1788161817.0013933
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,1340,0.0006316923536360264,1788161901.6029818
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,1350,0.0006514901760965586,1788161995.3437088
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,1360,0.0006513367407023907,1788162100.3406422
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,1370,0.0006658491911366582,1788162185.9343662
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,1380,0.0006851674988865852,1788162278.2716982
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,1390,0.0007044243393465877,1788162368.7634907
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,1400,0.000725921185221523,1788162454.5678737
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,1410,0.000733761815354228,1788162570.9514043
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,1420,0.0007432630518451333,1788162670.9682832
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,1430,0.0007766586495563388,1788162749.585526
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,1440,0.0007909164996817708,1788162861.4190795
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,1450,0.000781290465965867,1788162946.07818
